Rok/měsíc,Klasifikace ENISA,Závažnost
2021-01,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-01,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-01,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-01,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-01,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-01,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-01,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-01,Dostupnost,VÝZNAMNÝ INCIDENT
2021-01,Průnik,MÉNĚ VÝZNAMNÝ INCIDENT
2021-01,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-01,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-02,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-02,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-02,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Dostupnost,VÝZNAMNÝ INCIDENT
2021-03,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Informační bezpečnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-03,Škodlivý kód,VELMI VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-03,Průnik,VÝZNAMNÝ INCIDENT
2021-04,Dostupnost,VÝZNAMNÝ INCIDENT
2021-04,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-04,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-04,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-04,Dostupnost,VELMI VÝZNAMNÝ INCIDENT
2021-05,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-05,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-05,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-05,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-05,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-05,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-05,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-06,Průnik,VÝZNAMNÝ INCIDENT
2021-06,Průnik,VÝZNAMNÝ INCIDENT
2021-06,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-06,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-06,Pokus o průnik,MÉNĚ VÝZNAMNÝ INCIDENT
2021-06,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-06,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-06,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-06,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-06,Dostupnost,VÝZNAMNÝ INCIDENT
2021-06,Dostupnost,VÝZNAMNÝ INCIDENT
2021-06,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-06,Informační bezpečnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-06,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-07,Informační bezpečnost,VÝZNAMNÝ INCIDENT
2021-07,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
2021-07,Informační bezpečnost,VELMI VÝZNAMNÝ INCIDENT
2021-07,Dostupnost,VELMI VÝZNAMNÝ INCIDENT
2021-07,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-07,Škodlivý kód,VÝZNAMNÝ INCIDENT
2021-07,Informační bezpečnost,VÝZNAMNÝ INCIDENT
2021-07,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-07,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-07,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Podvod/phishing,VÝZNAMNÝ INCIDENT
2021-08,Průnik,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Průnik,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Škodlivý kód,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Dostupnost,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Informační bezpečnost,VELMI VÝZNAMNÝ INCIDENT
2021-08,Průnik,MÉNĚ VÝZNAMNÝ INCIDENT
2021-08,Podvod/phishing,MÉNĚ VÝZNAMNÝ INCIDENT
